league,game,half,timestamp,type,anonymized,predicted_res_0
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,1889,,"[PLAYER] ([TEAM]) wastes a great chance from the resulting corner. He times his header superbly when he leaps high to meet a precise cross, but can't aim better than into the middle of the goal, straight into the arms of the goalkeeper.",[PLAYER] ([TEAM]) tries to slide the ball through to a teammate but it's well blocked by a defender. [TEAM] have been awarded a corner kick. The referee and one of his assistants both point at the corner flag.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,1885,corner,The referee awards a corner and [PLAYER] ([TEAM]) goes over to take it.,"[PLAYER] ([TEAM]) swings in the corner, but it's comfortably cleared away."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,1861,,"[PLAYER] ([TEAM]) receives a low pass just outside the box and unleashes a fine strike towards the roof of the net. [PLAYER] pulls off a reflexive save to block his effort. Nice goalkeeping skill, indeed. [TEAM] win a corner.","[PLAYER] ([TEAM]) receives a precise pass inside the box, but his effort on goal is blocked by one of the defending players. The linesman points to the corner flag, [TEAM] are going to take it."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,1803,,"[PLAYER] ([TEAM]) finds himself beyond the last defender, but the game is stopped by the referee after the linesman signals for offside.",The game is interrupted as [PLAYER] ([TEAM]) is flagged for offside. [TEAM] will take a corner.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,1792,,"[PLAYER] ([TEAM]) meets a delivery on the edge of the penalty area and shoots towards the top of the net. He didn't put enough power into the effort, though, and [PLAYER] produces an easy save.",[PLAYER] ([TEAM]) latched on to a precise pass on the edge of the box and unleashed a shot which went just wide of the left post.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,1740,,"[PLAYER] ([TEAM]) unleashed a monstrous piledriver. He controlled a pass, glanced up at goal and shot from the edge of the box. It could have been a difficult one for the keeper, but the ball fortunately hit one of the defenders and ball bounced away.","[PLAYER] ([TEAM]) whips the ball into the penalty area, but one of the defenders manages to clear the ball to safety."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,1600,substitution,Substitution. [PLAYER] is replaced by [PLAYER] ([TEAM]).,[PLAYER] ([TEAM]) is clearly asking for some medical attention with his painful gestures. The extent of his injury is yet to be discovered.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,1569,,[PLAYER] ([TEAM]) failed to convert a mid-range free kick and sends the ball narrowly over the bar.,"[PLAYER] ([TEAM]) stands over the free kick and opts to shoot directly at goal, but his effort sails well wide of the left post. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,1463,,What a big chance! [PLAYER] ([TEAM]) picks up an inch-perfect pass inside the box and skies the ball well over the bar.,[PLAYER] ([TEAM]) receives a precise pass and has a shot from inside the box. His poor effort goes well wide of the right post. The ball is off of the pitch and it's a goal kick for [TEAM].
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,1390,corner,"[PLAYER] ([TEAM]) whips in the corner, but one of the defending players gets a head on it and intercepts.","[PLAYER] ([TEAM]) swings in the corner, but fails to find any of his teammates. One of the defenders reacts superbly to get it clear."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,1355,,[PLAYER] was forced into action to thwart [PLAYER] ([TEAM]). He found himself some space after latching on to a pass and unleashed a shot to the right post but couldn't beat the keeper.,"[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence quickly intercepts his attempt. [TEAM] have been awarded a corner kick. The referee and one of his assistants both point at the corner flag."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,1285,substitution,A substitution has been made. [PLAYER] is replaced by [PLAYER] ([TEAM]).,The referee stops play so that a substitution can be made and [PLAYER] trots off the pitch and is replaced by [PLAYER] ([TEAM]).
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,1275,substitution,[COACH] prepares a substitution. [PLAYER] is replaced by [PLAYER] ([TEAM]).,The referee stops play so that a substitution can be made and [PLAYER] ([TEAM]) comes onto the pitch for [PLAYER].
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,999,substitution,Here's the change. [PLAYER] leaves the pitch and [PLAYER] ([TEAM]) comes on as a substitute.,The referee stops play so that a substitution can be made and [PLAYER] ([TEAM]) comes onto the pitch for [PLAYER].
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,980,,"[PLAYER] ([TEAM]) sends a lofted cross into the penalty area. Unfortunately for him, the opponent's defence deals with his cross comfortably and intercepts it.",[PLAYER] ([TEAM]) commits a foul and [REFEREE] stop the game.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,737,soccer-ball,Goal! [PLAYER] ([TEAM]) fires the rebound into the bottom right corner after the ball breaks to him in the box. The score is 2:0.,"Goal! [PLAYER] displays great vision and sends a pass to [PLAYER] ([TEAM]), who shows brilliant composure inside the box to bury the ball into the back of the net. 0:1."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,707,,The linesman signals that [PLAYER] ([TEAM]) is offside and the referee confirms the decision.,The linesman raises his flag for offside before [PLAYER] ([TEAM]) scores.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,620,,[PLAYER] ([TEAM]) fails to beat the offside trap and the linesman puts his flag up.,"[PLAYER] ([TEAM]) takes the corner, but the opposition's defence is ready and it's cleared."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,610,corner,A dangerous looking corner kick from [PLAYER] ([TEAM]) is cleared to safety by the defence.,"[PLAYER] ([TEAM]) tries to slide the ball through to a teammate but it's well blocked by a defender. [TEAM] have a chance, but they are unable to score. The ball goes out of play. [TEAM] are awarded a corner kick."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,596,,"[PLAYER] ([TEAM]) flights in the cross, but the defender is alert and clears to safety. The ball is out of play and [TEAM] manage to earn a corner.","[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence clears the ball away to eliminate the danger. [TEAM] have been awarded a corner kick. The referee and one of his assistants both point at the corner flag."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,549,,"[PLAYER] ([TEAM]) sends a teasing cross into the area, but [PLAYER] intercepts the ball.","[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] intercepts the ball."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,350,,"[PLAYER] ([TEAM]) misses a good chance to score. A perfect cross into the box finds [PLAYER] ([TEAM]) who rises for a header, but he sends the ball well over the bar.",[PLAYER] ([TEAM]) tries to send a pass but it's blocked. The ball goes out of play and [TEAM] will have a goal kick.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,231,,[PLAYER] ([TEAM]) latches on to an accurate pass into the box and immediately unleashes a low shot goalwards. His effort is well saved by the keeper.,"[PLAYER] ([TEAM]) receives a precise low pass inside the box, controls the ball and sends a low strike towards the middle of the goal. [PLAYER] makes a good save to stop his effort."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,145,,"[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball.","[PLAYER] ([TEAM]) sends a lofted cross into the penalty area, but the opposition's defence deals with the threat. The ball is out of play. The referee and his assistant both point to the corner flag. [TEAM] have been awarded a corner kick."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,1,whistle,The game restarts for the second half.,The players are back out on the pitch following the half-time break and the second half is about to start.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,0,time,We will have 1 min. of added time.,The players are back out on the pitch following the half-time break and the second half is about to start.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,2495,corner,"[PLAYER] ([TEAM]) swings in the corner, but fails to find any of his teammates. One of the defenders reacts superbly to get it clear.","[PLAYER] ([TEAM]) takes the corner kick and sends a lovely ball into the penalty area, but the opposition's defence is ready and knocks the ball to safety."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,2458,,"[PLAYER] ([TEAM]) latches on to a sweet pass on the edge of the box and unleashes a brilliant shot towards the goal, but he hits the crossbar!","[PLAYER] ([TEAM]) receives a pass and decides to loft the ball into the goal, but his effort from the edge of the box goes high over the crossbar. The ball is off of the pitch and it's a goal kick for [TEAM]."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,2269,soccer-ball,Goal! [PLAYER] ([TEAM]) fires the rebound into the roof of the net after the ball breaks to him in the box. The score is 1:0.,"[PLAYER] ([TEAM]) delivers a cross into the box, but one of the defending players gets there first to head the ball away. The ball is out of play. [TEAM] are awarded a corner kick which is taken short by [TEAM]."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,2264,corner,"A horde of players are waiting inside the penalty area for a cross from the corner, but [PLAYER] ([TEAM]) takes it short.",[PLAYER] ([TEAM]) goes over to take the corner kick and it looks like he will swing the ball into the penalty area.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,2239,,"[PLAYER] ([TEAM]) takes the free kick from the edge of the box, but the goalkeeper perfectly sets up the defensive wall and his effort is thwarted. The linesman makes the right call and [TEAM] will have a corner.","[PLAYER] ([TEAM]) takes the free kick from the edge of the box, but his shot goes well wide of the left post. The ball goes out of play. [TEAM] will have a chance to score from the resulting corner kick."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,2176,,[PLAYER] ([TEAM]) carelessly slides into the feet of his opponent and he'll be lucky to avoid punishment. [REFEREE] blows for the foul but keeps his cards in his pocket on this occasion. [TEAM] are awarded a free kick from a dangerous position.,[PLAYER] ([TEAM]) is penalised for holding. [REFEREE] signals a set piece. A promising chance to create chaos in the box for [TEAM].
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,2129,,"[PLAYER] ([TEAM]) connected with a pass around the edge of the box, aimed and shot. His attempt went towards the left-hand post, but [PLAYER] was alert and the score remains the same.",[PLAYER] ([TEAM]) latches on to a precise low pass on the edge of the box and unleashes a shot which goes narrowly wide of the left post.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,1988,,[PLAYER] ([TEAM]) receives a precise pass on the edge of the box and bends his effort inches wide of the left post.,"[PLAYER] ([TEAM]) tries his luck with a shot from the edge of the box after receiving an accurate pass. Unfortunately for him, his effort goes just wide of the left post. The ball is off of the pitch and it's a goal kick for [TEAM]."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,1799,,An opponent rises to his feet after being downed by [PLAYER] ([TEAM]). [REFEREE] saw the sliding tackle and blows for a foul.,[REFEREE] blows for a foul after [PLAYER] ([TEAM]) was too aggressive in the battle for the ball.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,1703,,"[PLAYER] ([TEAM]) was in a good shooting position inside the six-yard box and produced a first-time shot towards the inside of the right post, but the goalkeeper made an astonishing save to thwart him.",[PLAYER] ([TEAM]) receives a precise pass inside the box and unleashes a shot which is blocked by the defender. The ball is out of play and [TEAM] will have a chance to score from a corner.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,1592,,[PLAYER] ([TEAM]) is unable to feed a through ball into the path of his teammates. The ball goes out of play and [TEAM] will have a goal kick.,"[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,1487,,[PLAYER] ([TEAM]) latches on to an accurate pass on the edge of the box and immediately unleashes a shot which is wide of the mark.,"A cross by [PLAYER] ([TEAM]) from the side of the pitch flies into the box, but his cross to the edge of the box is blocked. The ball is off of the pitch and it's a goal kick for [TEAM]."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,1440,corner,The corner from [PLAYER] ([TEAM]) is hurriedly cleared.,"[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,1400,,[PLAYER] ([TEAM]) produces a lovely ball into the penalty area but the defender manages to intercept and comfortably averts the danger. The referee signals a corner kick to [TEAM].,"[PLAYER] ([TEAM]) tries his luck with a shot from inside the penalty box, but his effort is blocked by a defending player. The ball goes out of play. [TEAM] are awarded a corner kick."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,1241,,"[PLAYER] ([TEAM]) serves up a nice cross, but [PLAYER] punches the ball away.",[PLAYER] ([TEAM]) is penalised for a foul. [TEAM] will have a chance to score from a corner.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,1058,,[PLAYER] ([TEAM]) connects with a cross from the free kick inside the six-yard box and attempts to score with his foot. He hits one of the defenders and the ball ricochets onto the post off him.,"[PLAYER] ([TEAM]) tries to curl the ball over the wall from the free kick, but it ends up in the hands of [PLAYER]."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,1012,,[TEAM] are awarded the free kick.,[PLAYER] ([TEAM]) was trying to get to the ball but clattered into the legs of the opponent as well. [REFEREE] blows his whistle for an infringement. [TEAM] will take a free kick near the side of the field.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,785,,[PLAYER] ([TEAM]) is adjudged offside.,"[PLAYER] ([TEAM]) attempts to find his teammate with a cross from the side box, but it's too high. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,758,,[PLAYER] ([TEAM]) receives a pass and unleashes a shot which goes well wide of the right post.,"[PLAYER] ([TEAM]) tries his luck with a shot from the edge of the box, but it goes well wide of the left post. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,740,,"[PLAYER] ([TEAM]) meets a cross inside the box, but [PLAYER] wins the battle for the ball and the chance is gone.",[PLAYER] ([TEAM]) finds some space on the edge of the box and unleashes a shot which is blocked by one of the defending players. The ball goes out of play and [TEAM] will have a goal kick.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,583,corner,[PLAYER] ([TEAM]) takes the corner but only sends it into a huddle of the defenders and one of them makes a good clearance.,"[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence clears the ball to safety. The ball goes out of play. [TEAM] are awarded a corner kick."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,1,338,,The linesman raises his flag. [PLAYER] ([TEAM]) is adjudged offside.,"[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence manages to clear. The ball goes out of play. [TEAM] are awarded a corner kick."
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,2918,substitution,The substitution has been made. [PLAYER] ([TEAM]) has replaced [PLAYER].,The referee stops play so that a substitution can be made and [PLAYER] ([TEAM]) comes onto the pitch for [PLAYER].
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,2918,substitution,Here is a change. [PLAYER] is going off and [COACH] gives the last tactical orders to [PLAYER] ([TEAM]).,The referee signals that it is time for a substitution and [PLAYER] ([TEAM]) comes onto the pitch to replace [PLAYER].
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,2913,,The linesman raises his flag as one of the players from [TEAM] was in an offside position.,The linesman signals that [PLAYER] ([TEAM]) is offside and the referee confirms his decision.
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,2823,injury,"[PLAYER] ([TEAM]) requires medical treatment, so the referee stops play and signals for the physio to come onto the pitch.",[PLAYER] ([TEAM]) is clearly asking for some medical attention with his painful gestures. The extent of his injury is yet to be discovered.
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,2812,,"[PLAYER] ([TEAM]) sends a teasing cross into the area, but [PLAYER] intercepts the ball.",[PLAYER] ([TEAM]) is offside and the referee blows his whistle.
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,2796,,"[PLAYER] ([TEAM]) has picked up a minor injury, but it looks like he will be able to continue.","[PLAYER] ([TEAM]) is off the pitch, which means [PLAYER] ([TEAM]) comes on."
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,2788,injury,"The game is interrupted now, [PLAYER] ([TEAM]) picks up a knock and the physio has to come on.",[REFEREE] blows his whistle after [PLAYER] ([TEAM]) brings the game to a stop with a foul.
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,2651,y-card,[PLAYER] ([TEAM]) goes in the referee's notebook after being shown a yellow card.,[PLAYER] ([TEAM]) sees a yellow card from [REFEREE] after he sent one of the opposing players to the ground.
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,2563,,"[PLAYER] ([TEAM]) sends a cross into the box from the free kick, but his effort lacks accuracy and goes well out of play.","[PLAYER] ([TEAM]) fires in a shot from a mid-range free kick, but it goes well wide of the left post. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,2447,,"[PLAYER] ([TEAM]) connects with a cross and powers a header goalwards, but his effort goes just over the bar.","[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence quickly deals with the threat."
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,2444,,"[PLAYER] ([TEAM]) finds himself in a promising position after receiving a precise pass. He pulls the trigger but only hits one of the opposition, who gets in the way of his effort.","[PLAYER] ([TEAM]) shoots from the edge of the box, but his effort is blocked by one of the defending players. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,2367,substitution,The referee stops play so that a substitution can be made and [PLAYER] trots off the pitch and is replaced by [PLAYER] ([TEAM]).,The referee stops play so that a substitution can be made and [PLAYER] ([TEAM]) comes onto the pitch for [PLAYER].
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,2343,,[PLAYER] ([TEAM]) should know this behaviour is beyond the rules. He was too careless with his challenge and left [REFEREE] no option but to blow his whistle.,[PLAYER] ([TEAM]) is penalised for a foul. [REFEREE] saw the whole situation and blows his whistle for a foul.
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,2341,,"[PLAYER] ([TEAM]) decides to strike the ball towards goal, but his effort fails to threaten the goalkeeper after being well blocked by one of the defenders.",[PLAYER] ([TEAM]) commits a rough foul! [REFEREE] saw the whole situation and blows his whistle for an infringement. [TEAM] win a free kick. It is a great opportunity to create a goal scoring opportunity.
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,2236,,[PLAYER] ([TEAM]) sends in a pass which fails to reach any of his teammates.,[PLAYER] ([TEAM]) fails to beat the offside trap and the linesman puts his flag up.
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,2164,corner,"[PLAYER] ([TEAM]) takes the corner kick and sends a lovely ball into the penalty area, but the opposition's defence is ready and knocks the ball to safety.","[PLAYER] ([TEAM]) swings in the corner, but it's comfortably cleared away."
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,2141,,Great solo effort by [PLAYER] ([TEAM]) as he beats two defenders before firing in a drive from just outside of the box towards the roof of the net. The goalkeeper is ready and makes an amazing save. [TEAM] force a corner. Their opponents will face another attacking threat.,"[PLAYER] ([TEAM]) shoots from the edge of the box, but his effort goes just wide of the left post. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,2009,substitution,Today's match ends for [PLAYER] who will be replaced by [PLAYER] ([TEAM]).,The referee stops play so that a substitution can be made and [PLAYER] ([TEAM]) comes onto the pitch for [PLAYER].
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,1993,,"[PLAYER] ([TEAM]) attempted to create a dangerous situation in front of goal by sending a cross into the box, but the defence easily dealt with the threat.",[PLAYER] ([TEAM]) is penalised for a foul. [REFEREE] had a clear view and wasn't going to miss it.
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,1897,,[PLAYER] can hear the fans clapping for his superb goalkeeping after he magnificently stops the close-range effort from [PLAYER] ([TEAM]). The ball would have probably ended up low inside the middle of the net.,The corner kick from [PLAYER] ([TEAM]) is headed out of the penalty area by one of the defenders.
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,1892,corner,[PLAYER] ([TEAM]) will take a corner kick.,[PLAYER] ([TEAM]) works the corner short instead of sending the ball into the penalty area.
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,1870,corner,"The ball is whipped in from the corner by [PLAYER] ([TEAM]), but one of the defenders gets it clear.",[PLAYER] ([TEAM]) works the corner short instead of sending the ball into the penalty area.
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,1847,,"[PLAYER] ([TEAM]) attempts to find the head of one of his teammates with a promising cross into the box, but a defender outjumps the attackers and averts the threat. The referee blows his whistle, [TEAM] are awarded a corner kick.","[PLAYER] ([TEAM]) attempts to find the head of one of his teammates with a cross into the box, but one of the defending players averts the danger. The ball is out of play. A goal-scoring opportunity from a corner kick."
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,1716,soccer-ball,Goal! [PLAYER] ([TEAM]) was in the right place at the right time to get to the rebound inside the box and gleefully rifles the ball into the right side of the goal. It's 2:3.,"It's in the back of the net! [PLAYER] plays a great pass to [PLAYER] ([TEAM]), who finds himself one-on-one with the goalkeeper. He shows brilliant composure inside the box and fires the ball into the bottom right corner. He makes it 1:0."
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,1673,,"[PLAYER] ([TEAM]) receives the ball from the set piece on the edge of the box, but fails to score because his shot is blocked.","[PLAYER] ([TEAM]) whips in a cross from the free kick, but one of the defending players gets in the way and blocks it. The ball goes out of play. [TEAM] will take a corner kick."
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,1623,,It looks like [PLAYER] ([TEAM]) saw red with that tackle. [REFEREE] won't tolerate such behaviour on the pitch and blows for a foul.,"[PLAYER] ([TEAM]) delivers a lovely cross into the penalty area, but the opposition's defence manages to clear the ball to safety. [TEAM] have been awarded a corner kick."
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,1617,,"[PLAYER] ([TEAM]) whips a promising cross into the box, but the opposition's defence intercepts the ball.",[PLAYER] ([TEAM]) is penalised for a foul. [REFEREE] had a clear view of that one.
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,1588,,"[PLAYER] ([TEAM]) attempts to find one of his teammates with a fine lofted pass, but the defence reacts well to intercept the effort.","[PLAYER] ([TEAM]) sends a cross into the box, but it's too short for [PLAYER] and he can't reach it."
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,1492,substitution,That will be all from [PLAYER] who is being replaced by the fresh legs of [PLAYER] ([TEAM]).,"The game is interrupted now, [PLAYER] ([TEAM]) picks up a knock and the physio has to come on."
england_epl_2016-2017,2017-01-21 - 15-30 Liverpool 2 - 3 Swansea,2,1424,soccer-ball,"Goal! [PLAYER] puts a cross into the box and finds [PLAYER] ([TEAM]), who latches on to it and strikes the ball inside the left post. He makes it 2:2.","Goal! [PLAYER] ([TEAM]) finds himself some space inside the box to get on the end of a pass from [PLAYER], then sends the ball into the back of the net. He makes it 0:2."
